,0,1,2,3,4
0,장학금액,,,,
count,172.0,237.0,114.0,254.0,87.0
mean,2344929.88372093,1823442.3628691982,2145115.5263157897,1849393.2677165354,2464422.0689655175
std,3236911.048681986,2701087.3914228906,3248090.402679538,2767050.4985321164,3531361.9171919124
min,0.0,0.0,0.0,0.0,0.0
25%,198015.0,113610.0,0.0,0.0,0.0
50%,1252510.0,762570.0,635200.0,706190.0,903330.0
75%,3084900.0,2308600.0,2985330.0,2580020.0,3698760.0
max,19425080.0,18580350.0,19738100.0,19566980.0,16643750.0
0,학부평균성적,,,,
count,172.0,237.0,114.0,254.0,87.0
mean,3.801928225359912,3.7104667500806743,3.6400368028657524,3.6139335083114608,3.7122253694581295
std,0.3374244289151433,0.3967645973479934,0.34397994947481214,0.367971534109546,0.2996896773126173
min,2.841111111111111,2.09,2.537777777777778,2.596,2.885555555555555
25%,3.595,3.482857142857143,3.4809375,3.36625,3.525625
50%,3.8137499999999998,3.74,3.6583928571428572,3.647291666666667,3.76875
75%,4.064374999999999,3.98,3.8801785714285715,3.8720000000000003,3.929107142857143
max,4.5,4.5,4.387499999999999,4.3725,4.212857142857144
0,직전2학기평균,,,,
count,172.0,237.0,114.0,254.0,87.0
mean,3.9479360465116278,3.78367088607595,3.9091228070175448,3.7722834645669265,3.981034482758619
std,0.3801576488659622,0.44373394613650263,0.3969609360944364,0.4333688950214806,0.3314170929429976
min,2.03,1.805,1.95,2.135,2.865
25%,3.73375,3.57,3.74625,3.52,3.795
50%,4.005,3.84,4.02,3.8775,4.02
75%,4.21,4.13,4.18875,4.09,4.265
max,4.5,4.5,4.5,4.5,4.5
0,성적오름추세,,,,
count,172.0,237.0,114.0,254.0,87.0
mean,0.3151162790697677,0.10071729957805903,0.5111403508771929,0.29948818897637763,0.48287356321839087
std,0.5557340526522573,0.5541476049275266,0.6540070617084174,0.5643431015114697,0.43233790629923063
min,-1.4,-2.5,-2.42,-1.56,-0.3599999999999999
25%,0.07000000000000006,-0.1699999999999999,0.1699999999999999,-0.07500000000000007,0.21499999999999986
50%,0.3300000000000001,0.04999999999999982,0.53,0.2849999999999999,0.46
75%,0.5924999999999999,0.4199999999999999,0.9049999999999998,0.6774999999999998,0.7699999999999998
max,2.77,1.33,1.83,1.72,1.62
0,직전2학기증가율,,,,
count,172.0,237.0,114.0,254.0,87.0
mean,0.002645348837209287,0.004932489451476805,-0.005184210526315788,-0.01983070866141735,0.023954022988505724
std,0.1329724362740246,0.13741457931913312,0.15003849451717993,0.12651619153782237,0.12403637013935992
min,-0.357,-0.617,-0.667,-0.596,-0.222
25%,-0.06325,-0.056,-0.06325,-0.08125,-0.048
50%,0.0,0.0,0.005,-0.014,0.019
75%,0.05825,0.076,0.062,0.04275,0.1
max,0.839,0.685,0.466,0.579,0.625
0,학부입학 후 대학원입학까지 걸린 시간,,,,
count,172.0,237.0,114.0,254.0,87.0
mean,4.436046511627907,5.928270042194093,6.228070175438597,6.480314960629921,4.0344827586206895
std,1.4189538021235437,2.2396471713624764,0.9504082748151647,1.2083398842634356,0.9578109230083782
min,2.0,2.0,4.0,4.0,2.0
25%,4.0,4.0,6.0,6.0,4.0
50%,4.0,6.0,6.0,6.0,4.0
75%,5.0,7.0,7.0,7.0,5.0
max,9.0,16.0,9.0,17.0,6.0
